date       |time    |invoice |weight|from  |warehouse|delivery_cost|purchase_cost
02-Mar-2022|15:59:09|01299150|113.3 |City Z|B14      |188.27       |131109.10    
12-Mar-2022|11:54:42|30873006|12.0  |B14   |A25      |127.37       |0.00         
12-Mar-2022|18:06:49|69576544|124.6 |City X|D44      |88.69        |223030.80    
12-Mar-2022|23:13:06|88674718|27.7  |City X|A48      |116.46       |38602.20     
16-Mar-2022|05:09:29|19426512|12.5  |D44   |A25      |340.31       |0.00         
06-Apr-2022|23:33:15|70420964|79.6  |City D|A39      |386.13       |34308.72     
09-Apr-2022|18:54:10|08023224|73.2  |City Y|A25      |273.32       |93930.72     
12-Apr-2022|12:55:11|42479694|8.3   |D44   |A32      |398.06       |0.00         
14-Apr-2022|01:37:02|59869134|77.1  |City B|B14      |341.61       |28299.36     
19-Apr-2022|20:53:41|56596902|19.8  |A39   |B14      |443.34       |0.00         
30-Apr-2022|20:45:19|66863509|46.8  |City A|A32      |115.84       |39780.28     
02-May-2022|11:12:47|35853831|19.8  |B14   |A48      |293.93       |0.00         
09-May-2022|02:04:43|18966675|16.3  |B14   |A48      |482.20       |0.00         
13-May-2022|21:47:01|80453755|129.7 |City B|A32      |14.49        |9900.12      
14-May-2022|16:06:23|39019832|16.1  |A25   |A39      |104.04       |0.00         
15-May-2022|07:38:07|09662890|120.9 |City D|A39      |455.11       |174559.99    
05-Jun-2022|03:35:21|06585338|4.2   |D44   |A39      |123.48       |0.00         
06-Jun-2022|11:16:50|50286922|3.4   |A32   |A48      |476.45       |0.00         
08-Jun-2022|10:44:37|87926787|11.1  |A32   |D5       |386.86       |0.00         
10-Jun-2022|21:17:47|02057586|8.9   |A32   |D44      |446.02       |0.00         
19-Jun-2022|00:04:13|73073190|17.6  |B14   |D5       |291.09       |0.00         
19-Jun-2022|15:17:02|99440480|63.3  |City A|D5       |395.89       |13163.50     
20-Jun-2022|20:33:17|16556292|67.8  |City A|A48      |352.25       |99456.72     
27-Jun-2022|09:54:47|59391798|7.3   |A32   |C22      |122.48       |0.00         
01-Jul-2022|07:17:39|71808037|19.6  |City Y|D44      |258.36       |7774.06      
03-Jul-2022|08:20:30|86868920|10.0  |D44   |A32      |195.30       |0.00         
04-Jul-2022|01:12:57|52112220|11.2  |D5    |C22      |457.05       |0.00         
08-Jul-2022|00:42:18|95734253|72.3  |City A|D44      |74.23        |7913.78      
10-Jul-2022|20:39:15|71476902|35.6  |City B|C22      |111.45       |12332.16     
11-Jul-2022|10:12:35|13156329|16.6  |A32   |C22      |233.95       |0.00         
17-Jul-2022|06:29:37|27287374|6.0   |D44   |B14      |362.99       |0.00         
21-Jul-2022|16:37:07|47058703|45.6  |City D|D5       |386.80       |24613.56     
23-Jul-2022|06:44:15|61867965|16.3  |A48   |D44      |491.49       |0.00         
01-Aug-2022|22:00:41|77981445|8.9   |A48   |B3       |241.32       |0.00         
02-Aug-2022|06:54:20|24058716|9.4   |B14   |A25      |329.51       |0.00         
03-Aug-2022|19:15:07|48658435|5.6   |A25   |D5       |378.61       |0.00         
05-Aug-2022|23:11:28|69459461|3.4   |C22   |D5       |317.79       |0.00         
06-Aug-2022|15:49:18|88490517|16.7  |A39   |D5       |455.87       |0.00         
06-Aug-2022|21:48:53|47947287|18.9  |A32   |C22      |444.53       |0.00         
07-Aug-2022|20:13:12|12899918|19.5  |A32   |A25      |213.62       |0.00         
08-Aug-2022|09:12:01|75213502|10.0  |A32   |A25      |315.83       |0.00         
14-Aug-2022|13:49:33|89746475|14.0  |A39   |A25      |116.26       |0.00         
15-Aug-2022|01:52:39|95796849|19.8  |A48   |D5       |137.32       |0.00         
15-Aug-2022|04:28:12|70311484|10.3  |A48   |A25      |322.80       |0.00         
18-Aug-2022|04:16:09|77271840|12.2  |C22   |B14      |413.22       |0.00         
20-Aug-2022|10:09:16|78167462|12.3  |A25   |B14      |152.12       |0.00         
25-Aug-2022|21:59:58|12363416|13.2  |A39   |B14      |114.92       |0.00         
26-Aug-2022|21:55:50|26317793|3.4   |D5    |C22      |468.21       |0.00         
27-Aug-2022|19:31:12|69513586|16.1  |A32   |D44      |494.52       |0.00         
29-Aug-2022|16:53:45|34391345|13.9  |D44   |D5       |186.64       |0.00         
29-Aug-2022|20:56:35|41970504|7.9   |B14   |A32      |238.47       |0.00         
05-Sep-2022|09:43:51|03462132|16.6  |C22   |B14      |293.28       |0.00         
08-Sep-2022|18:56:19|99167717|8.9   |B3    |A32      |106.39       |0.00         
16-Sep-2022|09:17:26|02333870|11.1  |D5    |A48      |107.38       |0.00         
19-Sep-2022|11:12:40|64307274|49.0  |City B|B3       |202.34       |39449.25     
19-Sep-2022|22:44:16|52819284|11.7  |A39   |A32      |218.46       |0.00         
21-Sep-2022|18:28:32|86018079|6.8   |B14   |A39      |169.89       |0.00         
30-Sep-2022|22:29:37|77058183|17.2  |B3    |B14      |478.40       |0.00         
30-Sep-2022|23:15:32|06599316|11.5  |B14   |A48      |307.42       |0.00         
01-Oct-2022|04:43:34|98208436|76.8  |City X|D44      |119.49       |34549.06     
04-Oct-2022|20:03:25|10104675|62.0  |City Y|A48      |270.66       |73434.97     
05-Oct-2022|00:44:51|11469225|13.2  |B14   |A48      |296.05       |0.00         
05-Oct-2022|04:23:08|65745242|12.1  |D44   |A48      |494.52       |0.00         
05-Oct-2022|06:48:37|31345856|16.7  |D5    |A25      |328.53       |0.00         
06-Oct-2022|02:39:06|50775015|16.6  |B14   |A25      |180.56       |0.00         
07-Oct-2022|19:41:21|28755289|12.2  |B14   |A25      |446.27       |0.00         
08-Oct-2022|12:58:38|60841264|3.4   |C22   |A32      |376.62       |0.00         
11-Oct-2022|16:38:21|26338172|11.2  |A48   |B3       |265.62       |0.00         
12-Oct-2022|19:29:36|01167622|9.0   |A39   |D5       |358.62       |0.00         
13-Oct-2022|15:55:17|62092911|13.1  |D44   |B3       |461.05       |0.00         
15-Oct-2022|08:18:51|73007755|10.3  |A25   |C22      |408.43       |0.00         
15-Oct-2022|11:52:25|78661729|18.0  |D44   |A48      |421.24       |0.00         
15-Oct-2022|15:30:35|91884092|17.2  |A39   |A25      |397.99       |0.00         
18-Oct-2022|14:07:14|74990406|13.9  |D5    |C22      |205.68       |0.00         
19-Oct-2022|23:27:44|11110003|16.7  |A25   |C22      |109.91       |0.00         
24-Oct-2022|20:12:19|93025508|12.1  |A48   |B14      |143.97       |0.00         
28-Oct-2022|13:27:25|62534380|13.1  |B3    |A32      |435.01       |0.00         
30-Oct-2022|05:38:45|35194676|19.5  |A25   |D44      |216.35       |0.00         
02-Nov-2022|00:49:46|95010279|11.8  |D5    |A39      |361.54       |0.00         
02-Nov-2022|21:10:07|82234002|70.7  |City A|A39      |176.34       |63484.44     
03-Nov-2022|16:37:37|42108196|51.6  |City B|A48      |302.78       |97583.45     
04-Nov-2022|07:05:08|89978855|5.9   |A39   |D5       |358.97       |0.00         
04-Nov-2022|19:16:08|27283865|158.3 |City Y|B14      |20.04        |43654.32     
06-Nov-2022|13:28:24|50630350|17.2  |A25   |D44      |478.80       |0.00         
07-Nov-2022|18:59:59|73403713|49.6  |City A|A39      |233.23       |39477.57     
09-Nov-2022|12:25:56|82200890|15.6  |B14   |C22      |426.65       |0.00         
09-Nov-2022|23:58:12|07646358|13.2  |A48   |A25      |471.21       |0.00         
11-Nov-2022|09:55:36|88878041|10.0  |D44   |B14      |402.57       |0.00         
12-Nov-2022|21:48:44|53268510|12.2  |C22   |A48      |224.24       |0.00         
13-Nov-2022|15:20:57|02063773|16.7  |B14   |A48      |456.88       |0.00         
14-Nov-2022|04:42:40|00808446|15.4  |A39   |B3       |284.50       |0.00         
15-Nov-2022|12:08:37|21147108|5.8   |A48   |A25      |109.45       |0.00         
17-Nov-2022|01:28:29|42688692|9.0   |A39   |B3       |251.59       |0.00         
17-Nov-2022|08:06:42|87936373|9.2   |B14   |C22      |146.20       |0.00         
18-Nov-2022|03:40:13|69367521|6.0   |B14   |A48      |364.92       |0.00         
19-Nov-2022|01:50:24|86715241|17.8  |D44   |A25      |425.39       |0.00         
19-Nov-2022|13:16:02|08519487|3.6   |A39   |A32      |166.15       |0.00         
20-Nov-2022|04:05:31|68048781|16.7  |D44   |B3       |262.49       |0.00         
21-Nov-2022|16:14:19|82908858|3.5   |A39   |C22      |493.25       |0.00         
21-Nov-2022|19:37:10|84349272|10.3  |C22   |D5       |299.07       |0.00         
22-Nov-2022|19:45:43|85483208|3.4   |A48   |C22      |428.97       |0.00         
22-Nov-2022|23:37:11|98691422|6.6   |B14   |C22      |118.91       |0.00         
23-Nov-2022|17:50:45|79905687|4.1   |D44   |B14      |281.63       |0.00         
24-Nov-2022|10:21:30|18698220|18.1  |A39   |A32      |251.20       |0.00         
24-Nov-2022|11:31:11|99118178|14.0  |A25   |D44      |401.63       |0.00         
28-Nov-2022|20:38:14|32818493|11.8  |A39   |B14      |315.64       |0.00         
29-Nov-2022|20:04:36|72321749|18.5  |A39   |D44      |102.80       |0.00         
30-Nov-2022|01:59:51|25815122|19.8  |A48   |D44      |440.08       |0.00         
01-Dec-2022|11:07:05|78133589|12.1  |B14   |C22      |151.90       |0.00         
01-Dec-2022|18:10:49|64706979|16.1  |D44   |A39      |412.30       |0.00         
02-Dec-2022|08:38:41|08971206|12.2  |A25   |B14      |246.93       |0.00         
03-Dec-2022|01:36:10|74443621|13.0  |B14   |C22      |490.99       |0.00         
04-Dec-2022|06:35:18|64905417|6.8   |A39   |A48      |190.64       |0.00         
04-Dec-2022|15:56:23|17157405|18.8  |A39   |A32      |440.20       |0.00         
04-Dec-2022|22:49:47|88592991|7.9   |A32   |B3       |386.13       |0.00         
05-Dec-2022|11:30:31|83166371|6.8   |D5    |B14      |199.14       |0.00         
07-Dec-2022|01:14:32|84954497|7.3   |C22   |A25      |333.69       |0.00         
07-Dec-2022|10:12:28|00741666|18.3  |A39   |B14      |365.67       |0.00         
09-Dec-2022|14:36:23|51148962|15.7  |D5    |A32      |296.83       |0.00         
10-Dec-2022|23:59:16|30797769|2.9   |A32   |A39      |449.91       |0.00         
11-Dec-2022|23:32:41|18366199|3.2   |A39   |D44      |181.15       |0.00         
12-Dec-2022|05:22:50|79680079|12.8  |A39   |D5       |340.26       |0.00         
13-Dec-2022|16:29:41|33859499|18.2  |A48   |D44      |352.16       |0.00         
16-Dec-2022|18:07:21|14291824|43.4  |City D|A39      |49.23        |27788.36     
16-Dec-2022|19:47:44|07805266|6.4   |A32   |C22      |225.32       |0.00         
18-Dec-2022|23:05:01|00045123|9.0   |D5    |B14      |332.34       |0.00         
21-Dec-2022|05:01:13|42907955|12.4  |D44   |C22      |446.91       |0.00         
21-Dec-2022|06:54:50|57162744|4.1   |B14   |D44      |118.26       |0.00         
22-Dec-2022|10:05:34|80586752|11.2  |A48   |B14      |456.53       |0.00         
23-Dec-2022|08:05:26|31136072|11.1  |A48   |C22      |142.94       |0.00         
23-Dec-2022|12:43:05|62015564|8.9   |D44   |A39      |281.67       |0.00         
25-Dec-2022|00:57:27|14586511|67.5  |City Z|A48      |469.89       |21457.10     
25-Dec-2022|01:41:07|79135180|3.9   |D44   |A32      |373.91       |0.00         
29-Dec-2022|00:19:54|49749157|7.3   |A25   |A48      |423.63       |0.00         
29-Dec-2022|04:02:44|00418156|6.6   |A32   |D5       |360.84       |0.00         
30-Dec-2022|07:46:19|86466532|3.4   |C22   |D44      |425.14       |0.00         
30-Dec-2022|14:55:43|65746049|3.6   |A32   |D5       |358.37       |0.00         
30-Dec-2022|20:54:34|32349565|2.4   |A48   |C22      |285.98       |0.00         
31-Dec-2022|08:55:42|40690584|19.1  |A48   |A32      |205.11       |0.00         
02-Jan-2023|15:01:27|94957691|5.9   |D5    |A39      |316.68       |0.00         
03-Jan-2023|20:24:53|78610158|19.2  |D5    |C22      |495.81       |0.00         
04-Jan-2023|05:28:28|28310078|16.3  |A39   |D44      |304.38       |0.00         
04-Jan-2023|07:05:30|86885130|16.7  |B3    |A32      |212.54       |0.00         
04-Jan-2023|13:31:20|03469587|37.6  |City X|A25      |252.50       |23619.48     
04-Jan-2023|21:54:35|34127996|3.6   |D5    |A48      |103.92       |0.00         
05-Jan-2023|03:23:13|31175291|16.1  |A39   |D5       |311.87       |0.00         
05-Jan-2023|05:16:05|17880947|5.9   |A39   |A48      |198.29       |0.00         
05-Jan-2023|07:14:23|62380982|6.0   |B14   |A39      |155.31       |0.00         
06-Jan-2023|02:54:36|14846081|13.9  |C22   |A48      |299.47       |0.00         
07-Jan-2023|19:58:41|90453313|17.6  |B3    |A25      |406.81       |0.00         
09-Jan-2023|14:00:29|91445434|5.8   |D44   |C22      |230.83       |0.00         
09-Jan-2023|21:37:25|30458161|7.1   |A48   |B14      |431.02       |0.00         
10-Jan-2023|13:32:27|92972224|116.1 |City X|A32      |125.53       |161448.32    
10-Jan-2023|16:18:29|52625134|8.3   |A32   |B14      |106.95       |0.00         
11-Jan-2023|12:00:12|82796995|7.1   |B14   |D44      |135.83       |0.00         
11-Jan-2023|15:33:02|50633469|3.2   |D44   |D5       |308.93       |0.00         
12-Jan-2023|01:05:37|09169919|4.1   |A48   |D5       |468.63       |0.00         
13-Jan-2023|16:56:26|89412586|3.9   |A32   |C22      |241.45       |0.00         
13-Jan-2023|20:26:49|64685250|19.7  |A32   |D44      |432.81       |0.00         
14-Jan-2023|18:10:50|19916366|10.0  |A25   |D44      |411.77       |0.00         
14-Jan-2023|19:40:06|69584345|18.7  |A48   |D5       |414.74       |0.00         
14-Jan-2023|23:44:20|90130331|12.3  |D44   |A25      |358.54       |0.00         
15-Jan-2023|17:39:05|36819496|5.1   |A32   |B14      |191.20       |0.00         
15-Jan-2023|18:26:01|37314685|16.7  |A39   |D44      |277.37       |0.00         
15-Jan-2023|23:52:14|50844552|12.3  |B14   |A48      |290.63       |0.00         
16-Jan-2023|10:39:48|58985110|15.4  |A32   |D5       |180.97       |0.00         
17-Jan-2023|01:52:41|60585883|16.3  |D44   |A39      |169.86       |0.00         
17-Jan-2023|18:08:29|26846071|97.7  |City B|A32      |139.97       |142435.89    
18-Jan-2023|00:45:01|27578634|16.5  |A32   |B3       |145.98       |0.00         
18-Jan-2023|05:50:11|17518602|12.3  |A25   |A32      |406.77       |0.00         
19-Jan-2023|00:30:05|68042386|10.0  |B14   |C22      |247.29       |0.00         
19-Jan-2023|09:51:17|04751009|19.8  |D44   |A39      |263.35       |0.00         
19-Jan-2023|10:23:48|40653796|8.4   |A32   |D5       |482.13       |0.00         
19-Jan-2023|19:52:43|59566480|5.9   |A32   |D44      |195.83       |0.00         
20-Jan-2023|10:02:30|47558411|7.9   |B3    |A25      |222.76       |0.00         
20-Jan-2023|11:13:15|59296779|23.5  |City A|D5       |467.88       |16955.70     
20-Jan-2023|18:57:08|90424940|6.6   |C22   |B14      |183.00       |0.00         
21-Jan-2023|00:20:43|32254811|16.7  |A32   |D5       |215.76       |0.00         
21-Jan-2023|09:49:28|37046830|7.1   |B14   |A32      |458.17       |0.00         
21-Jan-2023|09:51:19|85168518|16.7  |A48   |D44      |180.14       |0.00         
22-Jan-2023|09:57:13|09560087|11.5  |A48   |D5       |260.42       |0.00         
22-Jan-2023|15:07:49|04647034|9.2   |A32   |D5       |386.63       |0.00         
22-Jan-2023|21:21:42|61948889|6.6   |B14   |A39      |288.02       |0.00         
23-Jan-2023|04:51:04|18545655|3.1   |D5    |A32      |315.79       |0.00         
24-Jan-2023|23:46:21|90563180|3.4   |D44   |B14      |128.14       |0.00         
25-Jan-2023|00:10:25|08636681|3.4   |B14   |A25      |410.16       |0.00         
26-Jan-2023|03:18:43|17991423|14.0  |D44   |C22      |306.10       |0.00         
26-Jan-2023|10:45:48|60412933|16.1  |D5    |A32      |469.91       |0.00         
27-Jan-2023|02:16:07|16372983|16.5  |B3    |B14      |479.49       |0.00         
27-Jan-2023|03:59:38|08925323|17.4  |A32   |D44      |301.03       |0.00         
27-Jan-2023|05:00:44|44308817|16.7  |A32   |D44      |164.40       |0.00         
27-Jan-2023|08:29:16|06962141|3.9   |A32   |A48      |483.25       |0.00         
27-Jan-2023|16:01:55|39812730|16.0  |A32   |A48      |379.67       |0.00         
27-Jan-2023|16:19:53|07324555|6.9   |A32   |B14      |456.00       |0.00         
27-Jan-2023|21:43:55|83695903|3.9   |A48   |A32      |460.70       |0.00         
28-Jan-2023|10:55:33|78255892|6.4   |C22   |A32      |475.90       |0.00         
29-Jan-2023|01:56:11|50615044|63.7  |City Z|B3       |58.69        |75049.87     
29-Jan-2023|07:24:47|93551950|11.5  |D5    |A25      |447.93       |0.00         
29-Jan-2023|17:38:19|94882596|3.9   |A48   |A39      |287.33       |0.00         
29-Jan-2023|18:24:52|41739229|15.4  |D5    |B3       |202.19       |0.00         
29-Jan-2023|20:23:47|66713299|18.9  |C22   |A32      |283.38       |0.00         
30-Jan-2023|01:38:00|01951000|3.1   |A32   |A39      |210.18       |0.00         
30-Jan-2023|11:53:56|98796294|7.7   |A32   |A39      |263.01       |0.00         
30-Jan-2023|19:51:37|51018267|12.3  |A48   |A32      |282.46       |0.00         
31-Jan-2023|00:35:14|41857496|9.9   |A25   |B14      |494.55       |0.00         
31-Jan-2023|01:45:54|89892723|118.7 |City B|B3       |442.34       |189641.32    
31-Jan-2023|09:55:36|32348516|4.7   |A48   |A32      |369.30       |0.00         
31-Jan-2023|10:17:07|68722178|13.3  |B3    |A39      |254.98       |0.00         
31-Jan-2023|18:52:01|38900460|3.5   |A39   |A25      |249.40       |0.00         
01-Feb-2023|04:59:33|86069512|6.4   |A32   |B14      |365.89       |0.00         
01-Feb-2023|05:05:25|04781664|6.6   |D5    |A32      |120.67       |0.00         
01-Feb-2023|07:11:00|69605851|5.8   |C22   |D44      |180.07       |0.00         
01-Feb-2023|13:56:40|96436304|13.7  |A32   |A48      |397.89       |0.00         
01-Feb-2023|15:48:46|95578522|16.1  |A39   |A32      |426.84       |0.00         
01-Feb-2023|17:41:09|13571617|8.0   |A32   |D44      |438.44       |0.00         
01-Feb-2023|18:40:13|17163930|18.7  |D5    |B14      |399.66       |0.00         
01-Feb-2023|23:02:39|83898668|19.7  |D44   |D5       |211.43       |0.00         
02-Feb-2023|00:03:43|32523508|16.0  |B3    |A25      |269.33       |0.00         
02-Feb-2023|03:22:45|51726347|4.7   |A32   |B3       |363.01       |0.00         
02-Feb-2023|03:53:39|13897502|15.4  |B3    |C22      |333.19       |0.00         
02-Feb-2023|09:53:21|72349518|3.5   |B3    |A25      |119.32       |0.00         
02-Feb-2023|11:58:04|67987981|3.9   |A39   |C22      |233.45       |0.00         
02-Feb-2023|14:56:49|59993094|7.3   |D5    |A25      |131.74       |0.00         
02-Feb-2023|15:29:05|23441725|15.3  |B3    |C22      |172.08       |0.00         
02-Feb-2023|23:13:13|06852416|9.0   |B3    |B14      |245.94       |0.00         
02-Feb-2023|23:38:45|40616509|13.7  |B3    |A39      |281.10       |0.00         
03-Feb-2023|02:10:41|06783735|13.0  |C22   |A32      |466.49       |0.00         
03-Feb-2023|02:19:05|77986399|9.7   |B14   |D5       |184.99       |0.00         
03-Feb-2023|04:10:35|99113488|8.9   |A39   |C22      |234.98       |0.00         
03-Feb-2023|05:36:33|44836125|5.7   |B3    |D44      |263.69       |0.00         
03-Feb-2023|06:08:27|45435962|5.8   |B3    |B14      |297.72       |0.00         
03-Feb-2023|10:34:13|74989265|7.2   |B3    |A39      |126.86       |0.00         
03-Feb-2023|13:03:46|92897355|16.0  |A25   |A48      |223.63       |0.00         
03-Feb-2023|15:27:22|52558087|3.1   |A39   |D44      |315.15       |0.00         
03-Feb-2023|19:05:48|04366384|6.9   |B3    |A25      |279.40       |0.00         
03-Feb-2023|19:51:48|38053305|3.9   |A32   |B14      |411.86       |0.00         
03-Feb-2023|20:48:40|28994163|18.9  |A32   |A39      |209.52       |0.00         
03-Feb-2023|22:38:45|77322615|4.7   |B3    |A25      |319.78       |0.00         
04-Feb-2023|03:01:09|98425395|6.6   |A32   |A48      |227.52       |0.00         
04-Feb-2023|05:29:52|69090584|2.4   |C22   |D5       |318.77       |0.00         
04-Feb-2023|06:04:10|03286218|7.7   |A39   |B3       |426.45       |0.00         
04-Feb-2023|06:46:20|10195227|9.2   |D5    |B14      |133.43       |0.00         
04-Feb-2023|09:25:12|53948589|18.2  |D44   |A32      |174.20       |0.00         
04-Feb-2023|13:21:10|09187228|7.2   |A39   |A48      |482.57       |0.00         
04-Feb-2023|18:07:59|86908962|7.3   |A25   |C22      |468.67       |0.00         
04-Feb-2023|18:34:53|72455070|3.6   |B3    |A32      |488.49       |0.00         
04-Feb-2023|20:21:16|54575696|16.7  |D44   |C22      |341.11       |0.00         
05-Feb-2023|01:50:32|97091515|5.8   |B14   |C22      |155.18       |0.00         
05-Feb-2023|01:50:59|43064545|16.2  |A25   |A39      |275.25       |0.00         
05-Feb-2023|02:12:22|65581545|5.1   |B14   |B3       |277.84       |0.00         
05-Feb-2023|08:23:48|12649069|11.0  |A32   |A25      |420.16       |0.00         
05-Feb-2023|09:58:11|74381818|18.9  |B3    |B14      |294.35       |0.00         
05-Feb-2023|10:10:34|59871191|12.8  |D5    |A48      |374.28       |0.00         
05-Feb-2023|10:32:55|59773021|13.7  |A48   |D5       |134.02       |0.00         
05-Feb-2023|11:46:33|30204656|3.9   |B14   |A25      |284.71       |0.00         
05-Feb-2023|12:16:31|56419299|16.7  |D44   |A39      |182.47       |0.00         
05-Feb-2023|13:08:57|78980901|5.8   |D44   |B14      |488.18       |0.00         
05-Feb-2023|14:03:32|34034871|13.3  |A39   |D5       |246.09       |0.00         
05-Feb-2023|17:09:40|17669858|12.3  |A25   |B14      |165.18       |0.00         
05-Feb-2023|18:08:14|96581769|2.8   |B3    |C22      |403.65       |0.00         
05-Feb-2023|20:21:03|91450007|13.7  |A39   |A48      |338.98       |0.00         
05-Feb-2023|21:30:04|73872799|3.4   |A48   |C22      |456.12       |0.00         
05-Feb-2023|23:34:09|36353811|17.0  |B14   |A32      |485.85       |0.00         
06-Feb-2023|04:03:42|75490936|6.9   |A25   |A39      |208.98       |0.00         
06-Feb-2023|05:04:21|16891798|18.3  |B3    |D5       |425.60       |0.00         
06-Feb-2023|07:22:25|00608352|2.4   |D5    |A25      |147.78       |0.00         
06-Feb-2023|07:56:06|30417458|16.2  |A39   |A32      |266.41       |0.00         
06-Feb-2023|09:31:14|74670544|4.2   |A39   |A32      |396.18       |0.00         
06-Feb-2023|13:44:20|27347977|9.8   |B3    |C22      |345.42       |0.00         
06-Feb-2023|15:39:46|26972677|13.3  |D5    |C22      |109.22       |0.00         
06-Feb-2023|15:57:53|64714076|11.7  |B3    |D5       |425.12       |0.00         
06-Feb-2023|17:56:08|42770825|12.8  |A48   |B3       |213.99       |0.00         
06-Feb-2023|18:07:26|93646426|6.2   |A32   |B14      |333.85       |0.00         
06-Feb-2023|18:22:45|42296895|2.8   |C22   |B14      |363.00       |0.00         
06-Feb-2023|18:30:18|25288868|12.3  |B14   |A48      |412.60       |0.00         
06-Feb-2023|18:49:03|06301561|3.4   |C22   |D44      |312.07       |0.00         
06-Feb-2023|18:49:03|26465997|3.4   |D44   |A48      |465.14       |0.00         
06-Feb-2023|18:49:03|80949179|9.8   |C22   |D44      |224.05       |0.00         
06-Feb-2023|18:49:03|65374715|18.3  |D5    |D44      |279.99       |0.00         
06-Feb-2023|18:49:03|68451338|18.3  |D44   |D5       |188.54       |0.00         
06-Feb-2023|18:49:03|77784380|9.7   |D5    |B14      |235.21       |0.00         
06-Feb-2023|18:49:03|40093401|17.0  |A32   |A25      |137.33       |0.00         
06-Feb-2023|18:49:03|67944716|16.2  |A32   |A48      |130.54       |0.00         
06-Feb-2023|18:49:03|38356202|8.4   |D5    |C22      |162.99       |0.00         
