SKU   |Warehouse|Warehouse cell ID|Sale date  |First arrival date|Operation_cost|Cost of transportation
GJ6840|B14      |5046             |03-Apr-2022|02-Mar-2022       |14637.9       |0.00                  
JU3714|A25      |3561             |22-Apr-2022|09-Apr-2022       |27075.02      |0.00                  
XD8465|D44      |1366             |03-May-2022|12-Mar-2022       |12428.62      |0.00                  
YW3751|A25      |6171             |10-May-2022|09-Apr-2022       |11290.7       |0.00                  
LV5017|A48      |8393             |23-May-2022|12-Mar-2022       |14264.39      |0.00                  
LX3493|D44      |9302             |07-Jun-2022|12-Mar-2022       |7882.95       |0.00                  
GK8709|A25      |4947             |25-Jun-2022|12-Mar-2022       |20173.03      |-340.31               
MZ0636|A48      |5235             |27-Jun-2022|13-May-2022       |23289.74      |-476.45               
OP4974|B14      |9869             |03-Jul-2022|14-Apr-2022       |20424.26      |0.00                  
ZX9070|D44      |7274             |09-Jul-2022|12-Mar-2022       |12162.59      |0.00                  
BT1297|C22      |2045             |20-Jul-2022|19-Jun-2022       |3465.52       |-457.05               
HW7386|D44      |5028             |29-Jul-2022|08-Jul-2022       |15881.5       |0.00                  
PE6137|B14      |4279             |14-Aug-2022|02-Mar-2022       |27026.71      |0.00                  
IE6321|D5       |8273             |29-Aug-2022|06-Apr-2022       |29719.11      |-874.59               
YK2068|C22      |5633             |07-Sep-2022|10-Jul-2022       |9957.36       |0.00                  
UP3279|A48      |3466             |14-Sep-2022|20-Jun-2022       |20110.24      |0.00                  
GV8911|D44      |9029             |23-Sep-2022|01-Jul-2022       |911.9         |0.00                  
VY2885|B3       |8176             |01-Oct-2022|19-Sep-2022       |14609.22      |0.00                  
LM6945|A48      |8505             |08-Oct-2022|20-Jun-2022       |8396.73       |0.00                  
BN2884|B14      |1097             |19-Oct-2022|14-Apr-2022       |16094.35      |0.00                  
OB6861|A48      |2932             |19-Oct-2022|04-Oct-2022       |5417.82       |0.00                  
SZ1243|A39      |2314             |20-Oct-2022|06-Apr-2022       |8312.13       |0.00                  
RZ7420|A32      |0417             |21-Oct-2022|10-Jul-2022       |23717.72      |-1162.62              
JW8442|A48      |4758             |21-Oct-2022|04-Oct-2022       |16285.61      |0.00                  
CB9966|D5       |5842             |25-Oct-2022|21-Jul-2022       |18289.25      |0.00                  
