date       |time    |sku   |warehouse|warehouse_cell_id|operation    |invoice |expiration_date|operation_cost|comment                                                       
02-Mar-2022|15:59:09|GJ6840|B14      |5046             |first_arrival|01299150|14-Mar-2023    |-131297.37    |arrived safely                                                
02-Mar-2022|15:59:09|LT8796|B14      |4136             |first_arrival|01299150|06-Dec-2022    |-131297.37    |                                                              
02-Mar-2022|15:59:09|JG8298|B14      |5426             |first_arrival|01299150|17-Jun-2023    |-131297.37    |                                                              
02-Mar-2022|15:59:09|CK0891|B14      |5793             |first_arrival|01299150|26-Mar-2022    |-131297.37    |operation_cost = purchase_cost + delivery_cost                
02-Mar-2022|15:59:09|ZC7147|B14      |9008             |first_arrival|01299150|14-Jun-2022    |-131297.37    |arrived safely                                                
02-Mar-2022|15:59:09|PE6137|B14      |4279             |first_arrival|01299150|11-Nov-2022    |-131297.37    |                                                              
02-Mar-2022|15:59:09|MB7199|B14      |8196             |first_arrival|01299150|11-Jul-2023    |-131297.37    |arrived safely                                                
02-Mar-2022|15:59:09|HM8858|B14      |1853             |first_arrival|01299150|12-May-2022    |-131297.37    |operation_cost = purchase_cost + delivery_cost                
02-Mar-2022|15:59:09|LP3748|B14      |4118             |first_arrival|01299150|17-Oct-2022    |-131297.37    |                                                              
02-Mar-2022|15:59:09|WU5415|B14      |9979             |first_arrival|01299150|20-Jun-2022    |-131297.37    |arrived safely                                                
12-Mar-2022|11:54:42|CK0891|A25      |2256             |move         |30873006|26-Mar-2022    |-127.37       |                                                              
12-Mar-2022|18:06:49|LC9205|D44      |1064             |first_arrival|69576544|24-May-2022    |-223119.49    |                                                              
12-Mar-2022|18:06:49|NM1530|D44      |1386             |first_arrival|69576544|21-Apr-2022    |-223119.49    |                                                              
12-Mar-2022|18:06:49|PP1627|D44      |0607             |first_arrival|69576544|21-Aug-2022    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|ZX9070|D44      |7274             |first_arrival|69576544|16-Nov-2022    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|XD8465|D44      |1366             |first_arrival|69576544|09-Jun-2023    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|LX3493|D44      |9302             |first_arrival|69576544|12-Aug-2022    |-223119.49    |operation_cost = purchase_cost + delivery_cost                
12-Mar-2022|18:06:49|JH9314|D44      |5319             |first_arrival|69576544|20-Sep-2022    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|SS1046|D44      |5864             |first_arrival|69576544|16-Aug-2022    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|GK8709|D44      |0806             |first_arrival|69576544|21-Jul-2022    |-223119.49    |arrived safely                                                
12-Mar-2022|18:06:49|YS7348|D44      |3203             |first_arrival|69576544|27-May-2022    |-223119.49    |operation_cost = purchase_cost + delivery_cost                
12-Mar-2022|18:06:49|HH3394|D44      |8621             |first_arrival|69576544|30-Jun-2022    |-223119.49    |operation_cost = purchase_cost + delivery_cost                
12-Mar-2022|18:06:49|CB0425|D44      |1890             |first_arrival|69576544|23-Apr-2023    |-223119.49    |                                                              
12-Mar-2022|23:13:06|LV5017|A48      |8393             |first_arrival|88674718|23-Aug-2022    |-38718.66     |operation_cost = purchase_cost + delivery_cost                
12-Mar-2022|23:13:06|MO4828|A48      |6049             |first_arrival|88674718|17-Aug-2022    |-38718.66     |arrived safely                                                
12-Mar-2022|23:13:06|DJ3084|A48      |9734             |first_arrival|88674718|02-Apr-2022    |-38718.66     |arrived safely                                                
16-Mar-2022|05:09:29|GK8709|A25      |4947             |move         |19426512|21-Jul-2022    |-340.31       |                                                              
03-Apr-2022|09:30:15|GJ6840|B14      |5046             |sale         |01299150|14-Mar-2023    |14637.90      |                                                              
06-Apr-2022|23:33:15|AL8933|A39      |4988             |first_arrival|70420964|13-Sep-2022    |-34694.85     |                                                              
06-Apr-2022|23:33:15|VC3199|A39      |4797             |first_arrival|70420964|26-Feb-2023    |-34694.85     |operation_cost = purchase_cost + delivery_cost                
